"Tally by Zone, School and Grade of Round 1 Choices for non-substantially separate students for the 2011/2012 School Year",,,,,,,,,
source:  EPS\sch_selections_tally_non_sped.sql,,,,,,,,,
School Year,Zone,Sch code,School Name,Grade,1st Choices,2nd Choices,3rd Choices,4th Choice or Higher,Total No. of Students Choosing the school
2011,E,1459,TechBoston 6-8 ,6,78,81,85,109,353
2011,E,2190,McCormack      ,6,111,92,88,94,385
2011,E,2440,Harbor         ,6,35,47,52,105,239
2011,E,2450,UP Academy     ,6,158,136,112,136,542
2011,E,2950,Rogers         ,6,56,87,71,103,317
2011,E,4022,Perkins        ,K2,5,5,7,32,49
2011,E,4070,Chittick       ,K1,13,24,18,84,139
2011,E,4070,Chittick       ,K2,7,7,12,27,53
2011,E,4084,Holmes         ,K1,5,9,10,74,98
2011,E,4084,Holmes         ,K2,3,15,11,33,62
2011,E,4100,Dever          ,K1,20,13,22,90,145
2011,E,4100,Dever          ,K2,19,21,26,50,116
2011,E,4130,Greenwood Sarah,6,2,0,0,0,32
2011,E,4130,Greenwood Sarah,K1,18,22,34,86,160
2011,E,4130,Greenwood Sarah,K2,11,22,18,67,118
2011,E,4140,Everett        ,K1,18,33,30,103,184
2011,E,4140,Everett        ,K2,18,24,28,42,112
2011,E,4151,Taylor         ,K1,2,1,2,3,8
2011,E,4151,Taylor         ,K2,10,13,7,30,60
2011,E,4190,E Greenwood Ac.,K2,14,15,16,51,96
2011,E,4192,Roosevelt      ,6,29,35,40,66,170
2011,E,4193,Roosevelt K-1  ,K1,68,75,33,100,276
2011,E,4193,Roosevelt K-1  ,K2,44,35,28,75,182
2011,E,4200,Grew           ,K2,8,14,21,35,78
2011,E,4201,Channing       ,K1,29,19,32,65,146
2011,E,4201,Channing       ,K2,10,17,22,44,93
2011,E,4250,Holland        ,K1,21,24,18,92,155
2011,E,4250,Holland        ,K2,43,30,30,51,154
2011,E,4291,Lee Academy    ,K0,79,125,67,25,296
2011,E,4291,Lee Academy    ,K1,38,43,45,177,303
2011,E,4291,Lee Academy    ,K2,30,46,20,55,151
2011,E,4340,Marshall       ,K1,10,9,15,59,93
2011,E,4340,Marshall       ,K2,10,15,17,43,85
2011,E,4350,Mather         ,K1,30,28,33,118,209
2011,E,4350,Mather         ,K2,22,20,26,65,133
2011,E,4390,Kenny          ,K1,9,8,21,89,127
2011,E,4390,Kenny          ,K2,3,16,19,34,72
2011,E,4391,Henderson      ,K0,80,47,77,61,265
2011,E,4391,Henderson      ,K1,23,14,28,72,137
2011,E,4391,Henderson      ,K2,32,40,29,36,137
2011,E,4400,Murphy         ,6,156,136,85,97,474
2011,E,4400,Murphy         ,K1,139,150,71,161,521
2011,E,4400,Murphy         ,K2,127,46,39,49,261
2011,E,4440,Ellison/Parks  ,K0,111,93,100,69,373
2011,E,4440,Ellison/Parks  ,K1,62,46,44,71,223
2011,E,4440,Ellison/Parks  ,K2,38,38,20,42,138
2011,E,4530,Russell        ,K1,22,24,27,115,188
2011,E,4530,Russell        ,K2,17,22,27,54,120
2011,E,4531,Clap Innovation,K1,16,14,25,121,176
2011,E,4531,Clap Innovation,K2,7,10,8,52,77
2011,E,4590,Tynan          ,K1,7,8,17,48,81
2011,E,4590,Tynan          ,K2,7,12,10,31,60
2011,E,4592,Perry          ,6,13,31,55,74,173
2011,E,4592,Perry          ,K1,27,20,25,68,140
2011,E,4592,Perry          ,K2,18,20,23,41,102
2011,E,4600,Young Achievers,6,68,92,79,90,329
2011,E,4600,Young Achievers,K1,54,38,43,97,232
2011,E,4600,Young Achievers,K2,49,38,39,61,187
2011,E,4630,Condon         ,K1,25,24,29,120,198
2011,E,4630,Condon         ,K2,33,20,31,46,130
2011,E,4671,Mildred Avenue ,6,46,53,49,53,201
2011,E,4690,Mattahunt      ,K1,19,12,15,95,141
2011,E,4690,Mattahunt      ,K2,16,14,10,26,66
2011,H,1040,Brighton       ,9,182,184,188,370,924
2011,H,1050,Charlestown    ,9,67,75,105,215,462
2011,H,1064,Dorchester Acad,9,9,35,41,115,200
2011,H,1070,East Boston    ,9,151,77,108,244,580
2011,H,1080,English        ,9,29,66,93,199,387
2011,H,1103,CASH           ,9,19,20,27,87,153
2011,H,1120,Burke          ,9,16,17,18,79,130
2011,H,1162,Excel          ,9,86,106,130,266,588
2011,H,1171,Lyon 9-12      ,9,15,19,35,109,178
2011,H,1195,BCLA           ,9,103,107,92,169,471
2011,H,1200,Snowden        ,9,443,559,485,867,2354
2011,H,1210,Madison Park   ,9,152,115,132,256,655
2011,H,1230,ACC            ,9,156,159,135,249,699
2011,H,1253,Urban Science  ,9,66,89,79,216,450
2011,H,1256,Brook Frm/Media,9,49,58,79,187,373
2011,H,1265,Fenway         ,9,207,170,130,218,725
2011,H,1285,New Mission    ,9,108,77,63,161,409
2011,H,1420,Boston Arts    ,9,153,73,48,91,365
2011,H,1440,Kennedy Health ,9,97,70,48,107,322
2011,H,1460,TechBoston 9-12,9,132,136,153,277,698
2011,H,1470,Green Academy  ,9,11,19,23,76,129
2011,H,1990,Boston Intl    ,9,19,16,18,14,67
2011,N,1450,Quincy Upper   ,6,115,70,47,37,269
2011,N,2010,Edwards        ,6,104,83,62,34,283
2011,N,2260,Dearborn       ,6,30,42,38,48,158
2011,N,4052,Winthrop       ,K1,10,5,8,38,62
2011,N,4052,Winthrop       ,K2,9,6,5,31,51
2011,N,4061,Guild          ,K2,17,11,22,33,83
2011,N,4062,Bradley        ,K0,25,23,83,37,168
2011,N,4062,Bradley        ,K1,32,24,10,87,153
2011,N,4062,Bradley        ,K2,23,11,9,22,65
2011,N,4121,Mason          ,K0,23,52,49,43,167
