Samuel Adams Elementary School,1,North,Elementary,7:30 a.m. - 1:30 p.m.,,,11:45 a.m.,K1-5,,,,
Quincy Upper School,,North,Middle/High,"Grades 6-8: Mon, Tues, Thurs, Fri 8:30-3:30, Wed 8:30-12:45; Grades 9-12: Mon, Tues, Thurs, Fri 7:45-2:45, Wed 7:45-11:45",,,1:30 p.m.,6 - 12,,,,
Louis Agassiz Elementary School ,,West,Elementary,9:20 a.m. - 3:50 p.m.,Universal Free Breakfast,Universal Free Lunch,1:35 p.m.,K0-5,B,,,
Dante Alighieri Elementary School ,,North,Elementary,9:15 a.m. - 3:15 p.m. ,Universal Free Breakfast,,1:20 p.m.,K2-5,A,,,
Another Course to College,,Citywide,High,8:00 a.m. - 2:30 p.m.,,,12:45 p.m.,9 - 12,,,,
Baldwin Early Learning Center,,North,Early Childhood,7:30 a.m. - 4:45 p.m.; Special Ed. 7:30 a.m. - 3:20 p.m. (11:30 a.m. dismissal on Wednesdays),,,1:45 p.m.,K0-1,,,,
Phineas Bates Elementary School ,,West,Elementary,9:25 a.m. - 3:25 p.m.,Universal Free Breakfast,,1:30 p.m.,K1-5,B,,,
Ludwig van Beethoven Elementary School ,,West,Elementary,8:25 a.m. - 2:25 p.m.,Universal Free Breakfast,,12:40 p.m.,K1-4,A,,,
William Blackstone Elementary School ,,North,Elementary,8:35 a.m. - 3:05 p.m.,Universal Free Breakfast,Universal Free Lunch,12:40 p.m.,K0-5,A,,,
Boston Adult Technical Academy,9,Citywide,High,"Monday - Friday, 10:00 a.m. - 4:20 p.m.",,,N/A,Ages 20-22,,,,
Boston Arts Academy,,Citywide,High,"M-Th, 7:55 a.m.- 3:55 p.m.; Fridays, 7:55 a.m. - 1:30 p.m.",,,1:40 p.m.,9 - 12,,,,
Boston Community Leadership Academy,5,Citywide,High,Mon-Thurs 8:00 a.m. - 3:10 p.m.; Fri 8:00 - 11:40 a.m.,,,1:20 p.m.,9 - 12,,,,
Boston Day & Evening Academy,,Citywide,High,Day: Mon-Thurs 8:30 a.m. - 2:00 p.m.; Fri 9:30 a.m. - 12:30 p.m. / Evening: Mon-Thurs 2:00 - 7:00 p.m.,,,Day: 1:10 p.m.,9 - 12,,,,
Boston International High School,,Citywide,High,7:50 a.m. - 2:10 p.m.,,,12:05 p.m.,9 - 12,,,,
Boston Latin Academy,11,Citywide,Middle/High,7:20 a.m. - 1:40 p.m.,,,10:45 a.m.,7 - 12,,,,
Boston Latin School,,Citywide,Middle/High,7:45 a.m. - 2:15 p.m.,,,10:40 a.m.,7 - 12,,,,
Manassah E. Bradley Elementary School,,North,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,,1:25 p.m.,K0-5,A,,,
Brighton High School,,Citywide,High,7:40 a.m. - 2:03 p.m.,Universal Free Breakfast,,11:00 a.m.,9 - 12,,,,
Brook Farm Business & Service Career Academy,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,,11:45 a.m.,9 - 12,,West Roxbury Education Complex,,
Jeremiah E. Burke High School,,Citywide,High,7:40 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,11:45 a.m.,9 - 12,,,,
Carter Development Center ,,Citywide,Elementary/Middle/High,9:30 a.m. - 3:30 p.m.,,,1:35 p.m.,K-12,,,,
William E. Channing Elementary School ,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,,12:45 p.m.,K1-5,B,,,
Charlestown High School,,Citywide,High,7:20 a.m. - 1:40 p.m.,Universal Free Breakfast,,11:45 a.m.,9 - 12,,,,
James J. Chittick Elementary School ,,East,Elementary,8:30 a.m. - 2:30 p.m.,Universal Free Breakfast,Universal Free Lunch,12:45 a.m.,K1-5,B,,,
Roger Clap Elementary School ,,East,Elementary,9:20 a.m. - 3:20 p.m.,Universal Free Breakfast,,1:25 p.m.,K2-5,A,,,
Community Academy,,Citywide,High,8:00 a.m. - 2:15 p.m.,,,N/A,9 - 12,,,,
